lat,lon,Total_Crimes,Summer,Winter,Spring
41.89075554,-87.63634691,27,1,2,12
41.89075699,-87.63613388,7,0,1,2
41.89077773,-87.6345801,10,3,3,1
41.89077791,-87.63460948,1,0,0,0
41.89077954,-87.63442583,1,1,0,0
41.89077992,-87.63448826,1,1,0,0
41.89079674,-87.63319529,1,0,1,0
41.8908122,-87.63168196,2,0,2,0
41.89081443,-87.63159747,1,1,0,0
41.89081639,-87.6314689,1,0,1,0
41.89082494,-87.63017602,5,1,1,2
41.89082499,-87.63018336,8,1,3,4
41.89082659,-87.62999604,2,1,1,0
41.89082805,-87.63023475,5,3,0,0
41.89082917,-87.63041837,3,1,0,1
41.89083129,-87.63031551,1,1,0,0
41.89083138,-87.6303302,1,0,0,1
41.89084581,-87.62910336,7,0,3,0
41.89084754,-87.62893807,1,0,1,0
41.89084977,-87.62885357,1,0,0,0
41.89085175,-87.62872868,3,0,0,0
41.89085397,-87.62864418,1,0,0,0
41.89085818,-87.62843479,1,0,1,0
41.89087013,-87.62770012,2,0,1,0
41.89087206,-87.62756788,1,1,0,0
41.89087233,-87.62761195,1,1,0,0
41.89087424,-87.62747604,3,0,1,1
41.89090025,-87.63939736,19,7,2,5
41.89090176,-87.62614989,1,1,0,0
41.89090409,-87.62608376,1,1,0,0
41.89090439,-87.6261315,1,1,0,0
41.89090986,-87.62568337,1,1,0,0
41.89091085,-87.61435673,9,2,3,3
41.89091964,-87.62504421,1,0,0,0
41.89094561,-87.623472,1,0,0,0
41.8909614,-87.62247652,12,5,2,5
41.89096482,-87.63556235,1,1,0,0
41.89096786,-87.62218998,1,0,0,0
41.89097613,-87.62175284,16,3,2,6
41.89098591,-87.62111735,1,1,0,0
41.89098603,-87.62113571,34,7,8,14
41.8910042,-87.63256499,2,0,0,1
41.89100645,-87.62000429,3,0,2,0
41.8910069,-87.62007774,1,0,0,0
41.89101207,-87.63701623,5,0,1,1
41.89102102,-87.61925857,3,0,1,2
41.89102304,-87.61914102,18,7,2,7
41.89102329,-87.61918141,1,0,1,0
41.8910255,-87.63111036,6,3,0,2
41.89102553,-87.61910059,13,2,5,4
41.89102729,-87.61894264,2,1,1,0
41.89103567,-87.62963382,1,0,0,1
