lat,lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.99268056,-87.70068853,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99268213,-87.71406007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99268397,-87.73616084,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.9926886,-87.73494319,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99269459,-87.78160571,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
41.99270697,-87.7337291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.99271623,-87.70068817,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41.99271733,-87.77835366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99271769,-87.72017349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41.99272268,-87.72887692,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,2,1
41.99272317,-87.78355878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99273246,-87.78035099,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99273546,-87.70069166,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41.99274264,-87.73372876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99275441,-87.7803508,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
41.9927727,-87.71406287,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
41.99277811,-87.73737757,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.9927824,-87.78160495,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.99279298,-87.71528028,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41.99280161,-87.71893301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99281111,-87.72639306,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99282866,-87.71527993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
41.99284407,-87.71406586,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99284589,-87.73616301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99284892,-87.71649734,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
