Crosswalk,CurbRamp,NoCurbRamp,NoSidewalk,Obstacle,Other,Signal,SurfaceProblem,lat,lon
0,1,0,0,0,0,0,0,41.895176,-87.66961
1,0,0,0,0,0,0,0,41.895184,-87.66575
0,1,0,0,0,0,0,0,41.89519,-87.66973
0,1,0,0,0,0,0,0,41.895195,-87.669655
1,0,0,0,0,0,0,0,41.8952,-87.6697
0,1,0,0,0,0,0,0,41.8952,-87.66737
0,1,0,0,0,0,0,0,41.895214,-87.66708
0,1,0,0,0,0,0,0,41.895218,-87.66736
2,0,0,0,0,0,0,0,41.895233,-87.66721
0,1,0,0,0,0,0,0,41.895237,-87.66575
0,1,0,0,0,0,0,0,41.89524,-87.66713
1,0,0,0,0,0,0,0,41.895245,-87.66569
0,1,0,0,0,0,0,0,41.895252,-87.68698
0,1,0,0,0,0,0,0,41.895252,-87.665726
0,0,0,0,0,0,0,3,41.89552,-87.67226
0,1,0,0,0,0,0,0,41.89559,-87.66978
0,1,0,0,0,0,0,0,41.895622,-87.689316
1,0,0,0,0,0,0,0,41.895634,-87.68931
0,0,0,0,3,0,0,0,41.895634,-87.68699
0,1,0,0,0,0,0,0,41.895634,-87.68862
0,1,0,0,0,0,0,0,41.895634,-87.68924
0,1,0,0,0,0,0,0,41.895634,-87.689384
0,1,0,0,0,0,0,0,41.895634,-87.68872
0,1,0,0,0,0,0,0,41.895634,-87.68802
0,1,0,0,0,0,0,0,41.89564,-87.68811
0,2,0,0,0,0,0,0,41.89565,-87.68697
0,1,0,0,0,0,0,0,41.895653,-87.6892
1,0,0,0,0,0,0,0,41.895653,-87.686844
0,1,0,0,0,0,0,0,41.89566,-87.686714
0,1,0,0,0,0,0,0,41.895664,-87.687004
0,1,0,0,0,0,0,0,41.89568,-87.6867
0,1,0,0,0,0,0,0,41.89569,-87.68447
1,0,0,0,0,0,0,0,41.89569,-87.684395
0,2,0,0,0,0,0,0,41.895706,-87.684326
0,1,0,0,0,0,0,0,41.895706,-87.6845
1,0,0,0,0,0,0,0,41.895714,-87.68942
0,1,0,0,0,0,0,0,41.895714,-87.684296
1,0,0,0,0,0,0,0,41.895725,-87.6892
1,0,0,0,0,0,0,0,41.89574,-87.68669
1,0,0,0,0,0,0,0,41.89575,-87.68701
1,0,0,0,0,0,0,0,41.89579,-87.68452
1,0,0,0,0,0,0,0,41.895794,-87.68429
0,2,0,0,0,0,0,0,41.89581,-87.689224
0,1,0,0,0,0,0,0,41.89581,-87.689415
0,1,0,0,0,0,0,0,41.895817,-87.68937
2,0,0,0,0,0,0,0,41.895832,-87.689316
0,1,0,0,0,0,0,0,41.895832,-87.68668
0,2,0,0,0,0,0,0,41.895836,-87.68926
0,1,0,0,0,0,0,0,41.895847,-87.686714
0,1,0,0,0,0,0,0,41.895847,-87.687
1,0,0,0,0,0,0,0,41.895847,-87.686844
0,1,0,0,0,0,0,0,41.895855,-87.686966
0,0,0,0,0,0,0,2,41.895863,-87.68434
0,1,0,0,0,0,0,0,41.895863,-87.684494
0,1,0,0,0,0,0,0,41.895863,-87.68431
0,2,0,0,0,0,0,0,41.895866,-87.68434
0,1,0,0,0,0,0,0,41.89588,-87.68448
1,0,0,0,0,0,0,0,41.895885,-87.6844
0,0,0,0,3,0,0,0,41.895893,-87.68426
0,0,0,0,0,0,0,4,41.895897,-87.67211
0,2,0,0,0,0,0,0,41.8959,-87.67223
0,4,0,0,0,0,0,0,41.895905,-87.672104
1,0,0,0,0,0,0,0,41.895905,-87.67217
0,0,0,0,0,0,0,1,41.895916,-87.671585
0,0,0,0,0,0,0,1,41.89592,-87.67132
0,3,0,0,0,0,0,0,41.89592,-87.672264
0,3,0,0,0,0,0,0,41.895924,-87.67207
0,1,0,0,0,0,0,0,41.895943,-87.66975
0,1,0,0,0,0,0,0,41.89595,-87.66966
0,0,0,0,0,0,0,1,41.89595,-87.66965
2,0,0,0,0,0,0,0,41.89598,-87.667305
0,1,0,0,0,0,0,0,41.89599,-87.667145
0,1,0,0,0,0,0,0,41.895992,-87.66741
0,1,0,0,0,0,0,0,41.896,-87.66745
0,4,0,0,0,0,0,0,41.896,-87.66558
0,0,0,0,0,0,0,2,41.896,-87.66617
2,0,0,0,0,0,0,0,41.896004,-87.67227
0,1,0,0,0,0,0,0,41.896008,-87.66574
2,0,0,0,0,0,0,0,41.896008,-87.66566
0,1,0,0,0,0,0,0,41.896008,-87.66712
1,0,0,0,0,0,0,0,41.89601,-87.67209
1,0,0,0,0,0,0,0,41.896015,-87.66983
0,3,0,0,0,0,0,0,41.89602,-87.66556
0,2,0,0,0,0,0,0,41.896023,-87.665764
1,0,0,0,0,0,0,0,41.896027,-87.66964
0,1,0,0,0,0,0,0,41.896065,-87.67227
0,2,0,0,0,0,0,4,41.89607,-87.67208
1,0,0,0,0,0,0,0,41.89607,-87.66714
0,1,0,0,0,0,0,0,41.896084,-87.67226
1,0,0,0,0,0,0,0,41.89609,-87.67219
0,1,0,0,0,0,0,0,41.896095,-87.672104
0,1,0,0,0,0,0,0,41.896095,-87.669655
1,0,0,0,0,0,0,0,41.8961,-87.67094
1,0,0,0,0,0,0,0,41.8961,-87.66577
0,2,0,0,0,0,0,0,41.8961,-87.670906
1,0,0,0,0,0,0,0,41.896103,-87.66554
0,1,0,0,0,0,0,0,41.896103,-87.66984
1,0,0,0,0,0,0,0,41.896107,-87.667435
0,0,0,0,0,0,0,2,41.896107,-87.66981
